"BFN","LICENSE_TYPE","LICENSE_STATUS","LICENSE_SUB_TYPE","EXPIRATION_DATE","ENTITY_NAME","ESTABLISHMENT_ADDRESS"
"2017-BFN-0008424","Combined License","License Issued - Active","NA","5/11/2019 12:00:00 AM","DIA DEVELOPMENT LLC","6762 N TOWER RD  DENVER 80249"
"2017-BFN-0008544","Combined License","License Issued - Active","NA","3/12/2019 12:00:00 AM","CHUBBY CATTLE DENVER LLC","2 N Broadway   Denver 80203"
"2017-BFN-0009213","Combined License","License Issued - Active","NA","2/23/2019 12:00:00 AM","1776 CURTIS LLC","1776  Curtis St  Denver "
"2018-BFN-0000203","Combined License","License Issued - Active","NA","5/10/2019 12:00:00 AM","CCMJ LLC","2449  Larimer St  Denver 80205"
"2018-BFN-0000460","Combined License","License Issued - Active","NA","5/13/2019 12:00:00 AM","CHIPOTLE MEXICAN GRILL, INC.","4490 N Peoria St  Denver 80239"
"2018-BFN-0003113","Combined License","License Issued - Active","NA","5/30/2019 12:00:00 AM","CU DENVER LOLA & ROB SALAZAR STUDENT WELLNESS CENTER","1355  12th St  Denver "
"2012-BFN-1062396","Combined License","License Issued - Active","NA","9/28/2018 12:00:00 AM","GOVERNOR'S PLACE CONDOMINIUM ASSOCIATION","800 N Pearl   Denver 80203"
"2001-BFN-7922","Dry Cleaning Establishment","License Issued - Active","NA","12/31/2018 12:00:00 AM","DEPENDABLE CLEANERS & SHIRT LAUNDRY","1430 N KRAMERIA ST  DENVER 80220"
"2002-BFN-9038","Dry Cleaning Establishment","License Issued - Active","NA","3/14/2019 12:00:00 AM","CAROUSEL CLEANERS","4040 W 38TH AVE  DENVER 80212"
"2008-BFN-1034109","Dry Cleaning Establishment","License Issued - Active","NA","7/17/2018 12:00:00 AM","SPEEDY CLEANERS","8601 W CROSS DR F-6 DENVER 80123"
"2017-BFN-0003839","Dry Cleaning Establishment","License Issued - Active","NA","7/17/2018 12:00:00 AM","GRAPE NAMU INC","6445 E Hampden Ave  Denver 80222"
"2018-BFN-0003418","Dry Cleaning Establishment","License Issued - Active","NA","6/7/2019 12:00:00 AM","CJDM, INC","18601  Green Valley Ranch Blvd 114 Denver 80249"
"2001-BFN-86891","Food - Retail","License Issued - Active","Bakery, Deli","9/16/2018 12:00:00 AM","HJB CONVENIENCE CORPORATION","1200  17TH ST # 160 DENVER 80202"
"2001-BFN-75636","Food - Retail","License Issued - Active","Bakery, Deli","10/23/2018 12:00:00 AM","MRS. MAURO'S POTICA","3600 E 40TH AVE  DENVER 80205"
"2002-BFN-52056","Food - Retail","License Issued - Active","Bakery, Deli","9/16/2018 12:00:00 AM","HJB CONVENIENCE CORPORATION","1050  17TH ST 120A DENVER 80205"
"2002-BFN-73306","Food - Retail","License Issued - Active","Bakery, Deli","5/19/2019 12:00:00 AM","PANADERIA JUANITAS","2322 E 46TH AVE  DENVER 80216"
"2002-BFN-36412","Food - Retail","License Issued - Active","Bakery, Deli","5/23/2019 12:00:00 AM","ENSTROM CANDIES","201  UNIVERSITY BLVD #118 DENVER 80206"
"2002-BFN-13946","Food - Retail","License Issued - Active","Bakery, Deli","9/16/2018 12:00:00 AM","HJB CONVENIENCE CORPORATION","1625  BROADWAY   DENVER 80202"
"2002-BFN-94511","Food - Retail","License Issued - Active","Bakery, Deli","12/27/2018 12:00:00 AM","A-B PETROLEUM, INCORPORATED","303 S COLORADO BLVD  DENVER 80222"
"2002-BFN-7417","Food - Retail","License Issued - Active","Bakery, Deli","9/16/2018 12:00:00 AM","HJB CONVENIENCE CORPORATION","1560  BROADWAY  #102 DENVER 80202"
"2006-BFN-1022098","Food - Retail","License Issued - Active","Bakery, Deli","8/21/2018 12:00:00 AM","PESTER MARKETING COMPANY","1989 W MISSISSIPPI AVE  DENVER 80223"
"2007-BFN-1029055","Food - Retail","License Issued - Active","Bakery, Deli","10/4/2018 12:00:00 AM","LA SANCHEZ","1626  BRUCE RANDOLPH AVE  DENVER 80205"
"2008-BFN-1031887","Food - Retail","License Issued - Active","Bakery, Deli","3/13/2019 12:00:00 AM","SAFEWAY FUEL","6130 E 14TH AVE  DENVER 80220"
"2011-BFN-1057365","Food - Retail","License Issued - Active","Bakery, Deli","12/2/2018 12:00:00 AM","TORTILLERIA COLORADO","2050 W MISSISSIPPI AVE  DENVER 80223"
"2013-BFN-1066778","Food - Retail","License Issued - Active","Bakery, Deli","8/25/2018 12:00:00 AM","SAIGON SUPERMARKET CORPORATED","1076 S FEDERAL BLVD  DENVER 80219"
"2013-BFN-1067053","Food - Retail","License Issued - Active","Bakery, Deli","8/6/2018 12:00:00 AM","ONEIDA FOOD MART","2201 N ONEIDA ST  DENVER 80207"
"2013-BFN-1068137","Food - Retail","License Issued - Active","Bakery, Deli","10/22/2018 12:00:00 AM","BAPTIST BIBLE TEMPLE","880 S QUITMAN ST  DENVER "
"2015-BFN-0003170","Food - Retail","License Issued - Active","Bakery, Deli","6/8/2019 12:00:00 AM","J MART","1021  21ST ST  DENVER 80205"
"2015-BFN-0004314","Food - Retail","License Issued - Active","Bakery, Deli","7/10/2018 12:00:00 AM","TWIN STAR ENERGY, LLC","4880 N Federal Blvd  Denver 80221"
"2015-BFN-0007996","Food - Retail","License Issued - Active","Bakery, Deli","4/22/2019 12:00:00 AM","VINH XUONG BAKERY","375 S FEDERAL BLVD 112 DENVER 80219"
"2016-BFN-0000504","Food - Retail","License Issued - Active","Bakery, Deli","5/16/2019 12:00:00 AM","ABRAHAM ENTERPRISES, INC","1515  QUEBEC ST  DENVER 80220"
"2016-BFN-0002713","Food - Retail","License Issued - Active","Bakery, Deli","6/6/2019 12:00:00 AM","SHAMROCK MISSISSIPPI, INC.","2000 W MISSISSIPPI AVE  DENVER 80223"
"2017-BFN-0001112","Food - Retail","License Issued - Active","Bakery, Deli","5/17/2019 12:00:00 AM","BN INVESTMENT COMPANY LLC","1895 E COLFAX AVE  DENVER 80218"
"2017-BFN-0001938","Food - Retail","License Issued - Active","Bakery, Deli","3/22/2019 12:00:00 AM","HJB CONVENIENCE CORP","1670 N BROADWAY  915 DENVER 80202"
"2017-BFN-0003783","Food - Retail","License Issued - Active","Bakery, Deli","7/27/2018 12:00:00 AM","WADSWORTH CENTURY MART LLC","2900 S WADSWORTH BLVD  DENVER 80227"
"2018-BFN-0001081","Food - Retail","License Issued - Active","Bakery, Deli","4/3/2019 12:00:00 AM","SAFEWAY STORES 45 INC","2150 S Downing St  Denver 80210"
"2011-BFN-1057504","Food - Retail","License Issued - Active","Fresh Meats & Fish","","SUSHIMEE","  PO BOX  461091 AURORA 80046"
"2017-BFN-0000472","Food - Retail","License Issued - Active","Fresh Meats & Fish","3/23/2019 12:00:00 AM","SUI HLEI SANG","3100 S SHERIDAN ST  DENVER 80227"
"2017-BFN-0002290","Food - Retail","License Issued - Active","Fresh Meats & Fish","4/3/2019 12:00:00 AM","VIA ALBA INC","111  LINCOLN AVE C BRECKENRIDGE 80424"
"2002-BFN-63305","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","7/26/2019 12:00:00 AM","INTERSTATE WAREHOUSING","10251 E 51ST AVE  DENVER 80239"
"2002-BFN-7644","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","12/31/2018 12:00:00 AM","TODD'S PROFESSIONAL PHARMACY","950 E HARVARD AVE  DENVER 80210"
"2005-BFN-1017966","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","2/24/2019 12:00:00 AM","OMAHA STEAKS","6300 E HAMPDEN AVE BLDG 1 DENVER 80222"
"2007-BFN-1030436","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","3/14/2019 12:00:00 AM","FAMILY DOLLAR STORE #3731","998  SHERIDAN BLVD  DENVER 80214"
"2008-BFN-1032798","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","5/27/2019 12:00:00 AM","VERTICAL MILE MARKET","8500 N PENA BLVD LVL 5 DENVER 80249"
"2012-BFN-1061862","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","8/16/2018 12:00:00 AM","FAMILY DOLLAR #28721","4775  YAMPA ST  DENVER 80249-6804"
"2013-BFN-1065287","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","4/15/2019 12:00:00 AM","NATURAL GROCERS BY VITAMIN COTTAGE","3909 E EVANS AVE UNIT B DENVER 80210"
"2014-BFN-0003277","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","5/5/2019 12:00:00 AM","HG DENVER, JV","8500  PENA BLVD 1103 DENVER 80249"
"2014-BFN-0003275","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","5/5/2019 12:00:00 AM","HG DENVER, JV","8500  PENA BLVD 1102 DENVER 80249"
"2018-BFN-0000591","Food - Retail","License Issued - Active","Milk, Dairy, Prepackaged Meats","4/2/2019 12:00:00 AM","PRESSED JUICE DAILY LLC","2120 S Broadway  B Denver 80210"
"2001-BFN-32567","Food - Retail","License Issued - Active","Multi-Use","9/1/2018 12:00:00 AM","CARNICERIA JALISCO","3300 N DOWNING ST  DENVER 80205"
"2003-BFN-1006028","Food - Retail","License Issued - Active","Multi-Use","12/1/2018 12:00:00 AM","ABARROTES LA HERRADURA","3401 N FRANKLIN ST  DENVER 80205"
"2005-BFN-1014064","Food - Retail","License Issued - Active","Multi-Use","4/5/2019 12:00:00 AM","ACS CONOCO","601 W MISSISSIPPI AVE  DENVER 80223"
"2007-BFN-1030344","Food - Retail","License Issued - Active","Multi-Use","3/11/2019 12:00:00 AM","CARNICERIA FIORDALISA","4812  CHAMBERS RD  DENVER 80239"
"2013-BFN-1068387","Food - Retail","License Issued - Active","Multi-Use","10/18/2018 12:00:00 AM","FLORIDA GAS STATION","1498 S FEDERAL BLVD  DENVER 80219"
"2013-BFN-1070451","Food - Retail","License Issued - Active","Multi-Use","1/17/2019 12:00:00 AM","GEM SUPER","2958 N DOWNING ST  DENVER 80205"
"2018-BFN-0002140","Food - Retail","License Issued - Active","Multi-Use","6/8/2019 12:00:00 AM","LITTLETON MY MART INC","4550 S Kipling St 2 Denver "
"2002-BFN-15497","Food - Retail","License Issued - Active","Produce","10/17/2018 12:00:00 AM","INDOCHINA GINSENG, INC.","1075 S FEDERAL BLVD  DENVER 80219"
"2014-BFN-1071454","Food - Retail","License Issued - Active","Produce","4/4/2019 12:00:00 AM","NOOCH VEGAN MARKET","10 E ELLSWORTH AVE  DENVER 80209"
"2017-BFN-0002748","Food - Retail","License Issued - Active","Produce","5/1/2019 12:00:00 AM","EDIBLE ARRANGEMENTS","1685 S Colorado Blvd Q-2 Denver "
"2001-BFN-77308","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","9/29/2018 12:00:00 AM","KITCHEN NETWORK","4986  MORRISON RD  DENVER 80219"
"2002-BFN-99348","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","3/26/2019 12:00:00 AM","PALETERIA ZECATECAS, INC","3548  MORRISON  UNIT # A DENVER 80219"
"2002-BFN-92972","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","7/9/2019 12:00:00 AM","VOLLMER'S CHEESECAKE FACTORY","4004  GRAPE ST  DENVER 80216"
"2002-BFN-6997","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","12/31/2018 12:00:00 AM","EL SOL FOOD PRODUCTS","2700 W BARBERRY PL  DENVER 80204"
"2005-BFN-1015248","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","9/9/2018 12:00:00 AM","EAST-WEST SPECIALTY SAUCES, INC.","950  VALLEJO ST  DENVER 80204"
"2005-BFN-1016112","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","9/14/2018 12:00:00 AM","STILLMAN WHOLESALE MEAT CO, INC","801 E 50TH AVE  DENVER 80216"
"2009-BFN-1039245","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","3/26/2019 12:00:00 AM","PAPPARDELLE'S PASTA, CO","3970 N HOLLY ST  DENVER 80207"
"2009-BFN-1042352","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","8/21/2018 12:00:00 AM","THE LAST CRUMB BAKERY","4986  MORRISON RD  DENVER 80219"
"2011-BFN-1054462","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","6/30/2018 12:00:00 AM","ELEGANT CATERING DESIGNS","4897 N OAKLAND ST  DENVER 80239"
"2012-BFN-1058735","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","3/15/2019 12:00:00 AM","BISTRO CHARLOTTE, LLC","7474 E ARKANSAS AVE APT 1510 DENVER 80231"
"2013-BFN-1069107","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","10/29/2018 12:00:00 AM","NATURAL FOOD WORKS","4969 N COLORADO BLVD  DENVER 80216"
"2014-BFN-1070879","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","1/30/2019 12:00:00 AM","MERFS CONDIMENTS","739 S KRAMERIA ST  DENVER 80224"
"2015-BFN-0000137","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","1/8/2019 12:00:00 AM","MEZCLA MAGGIE LLC","1301  SPEER BLVD 709 DENVER 80204"
"2015-BFN-0000455","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","1/29/2019 12:00:00 AM","A & L FOODS, INC","3989 N Ulster St  Denver 80207"
"2015-BFN-0002098","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","5/28/2019 12:00:00 AM","FIT FOODS & CO","9869  TELLER CT  WESTMINSTER 80021"
"2015-BFN-0004521","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","7/16/2018 12:00:00 AM","CLEMENT LLC","34646  SQUAW PASS RD B EVERGREEN 80439"
"2015-BFN-0004904","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","9/10/2018 12:00:00 AM","TETON WATERS RANCH","3560  BRIGHTON BLVD  DENVER 80216"
"2015-BFN-0005098","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","8/14/2018 12:00:00 AM","COPPER DOOR COFFEE, LLC","932 N Jersey St  Denver 80220"
"2015-BFN-0006802","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","10/8/2018 12:00:00 AM","LUPITAS CREATIONS EVENT CENTER","2465 W EVANS AVE  DENVER 80219"
"2015-BFN-0008102","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","5/6/2019 12:00:00 AM","ELEVATION CHARCUTERIE AND ARTISAN MEATS LLC","4350 N Broadway   Denver 80216"
"2016-BFN-0000601","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","3/2/2019 12:00:00 AM","VIE DE FRANCE YAMAZAKI, INC.","5060  NOME ST  DENVER 80239-2726"
"2016-BFN-0000711","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","2/12/2019 12:00:00 AM","REAL FOOD READY, LLC","3235 N RACE ST  Denver 80205"
"2016-BFN-0001130","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","3/4/2019 12:00:00 AM","CHRIS HYDER","2890 S HIGH ST  DENVER 80210"
"2016-BFN-0001590","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","3/29/2019 12:00:00 AM","SWEET THANGS LLC","11642 E 2ND AVE  AURORA 80010"
"2016-BFN-0004525","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","7/19/2018 12:00:00 AM","EBISU LLC","5082 E HAMPDEN AVE 129 DENVER 80222"
"2016-BFN-0006193","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","9/14/2018 12:00:00 AM","JENNIFER HOLCOMB","5569  GIBRALTER ST  DENVER 80249"
"2017-BFN-0000102","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","1/11/2019 12:00:00 AM","PHU NGUYEN","4986  MORRISON RD  DENVER 80219"
"2017-BFN-0002924","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","5/1/2019 12:00:00 AM","HIGH FIVE LLC","2222 E Bruce Randolph Ave  Denver 80205"
"2017-BFN-0003142","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","5/4/2019 12:00:00 AM","ROSENBERGS WHOLESALE, LLC","18748  PO BOX   DENVER 80218"
"2017-BFN-0003270","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","7/21/2019 12:00:00 AM","CA TIN TIAL","6470 E Hampden Ave  Denver 80222"
"2017-BFN-0005311","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","7/21/2018 12:00:00 AM","42 S BROADWAY HOSPITALITY LLC","42 S Broadway   Denver 80209"
"2017-BFN-0006595","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","8/30/2018 12:00:00 AM","MOTHERO, LLC","1710 W 37TH AVE  DENVER 80211"
"2017-BFN-0008471","Food - Wholesale","License Issued - Active","Fresh Meats, Fish, Caterers","11/8/2018 12:00:00 AM","OFF THE MENU CATERING","1235 S BIRCH ST 9603 DENVER 80246"
"2001-BFN-7886","Amusement Facility - Permanent","License Issued - Active","NA","12/31/2018 12:00:00 AM","ACT CINEMA CORPORATION","3480 W COLFAX AVE  DENVER 80204"
"2002-BFN-45098","Boarding Home","License Issued - Active","NA","1/17/2019 12:00:00 AM","NEW VISIONS","1810 S HOOKER ST  DENVER 80219"
"2002-BFN-61987","Boarding Home","License Issued - Active","NA","1/17/2019 12:00:00 AM","FRANKLIN HOUSE","1730 N FRANKLIN ST  DENVER 80218"
"2011-BFN-1056277","Boarding Home","License Issued - Active","NA","6/11/2019 12:00:00 AM","PEER 1","3864 W PRINCETON CIR  DENVER 80236"
"2002-BFN-14902","Boarding Home - Personal Care","License Issued - Active","NA","3/16/2019 12:00:00 AM","THE LENNOX GUEST HOME","2875 W 33RD AVE  DENVER 80211"
"2002-BFN-64445","Boarding Home - Personal Care","License Issued - Active","NA","1/17/2019 12:00:00 AM","LINCOLN HOUSE","5100 N LINCOLN ST  DENVER 80216"
"2009-BFN-1039311","Boarding Home - Personal Care","License Issued - Active","NA","3/5/2019 12:00:00 AM","SPRINGBROOKE RETIREMENT ASSISTED LIVING","6800  LEETSDALE DR  DENVER 80224"
"2009-BFN-1044099","Boarding Home - Personal Care","License Issued - Active","NA","11/18/2018 12:00:00 AM","MEADOW VISTA ASSISTED LIVING, LLC","3901 E DARTMOUTH AVE  DENVER 80210"
"2012-BFN-1063171","Body Art Est - Permanent","License Issued - Active","NA","1/16/2019 12:00:00 AM","URBAN ELEMENT TATTOO LLC","3122  Larimer ST  Denver 80205"
