"BFN","LICENSE_TYPE","LICENSE_SUB_TYPE","LICENSE_STATUS","EXPIRATION_DATE","ENTITY_NAME","ESTABLISHMENT_ADDRESS"
"2017-BFN-0008762","Retail Food Establishment","Restaurant","Pending","11/28/2017 11:15:14 AM","SODEXO AMERICA, LLC","7500 E 35th Ave  Denver 80207"
"2017-BFN-0008859","Liquor","Tastings","Pending","12/1/2017 11:51:09 AM","THE PROPER POUR LTD","3350 N Brighton Blvd 125 Denver 80216"
"2017-BFN-0009339","Combined License","NA","Pending","12/29/2017 11:23:01 AM","BMSH I DTC CO, LLC","4855 S Niagara St  Denver "
"2018-BFN-0000041","Combined License","NA","Pending","1/3/2018 10:53:42 AM","38TH STREET APARTMENTS, LLC","3550 W 38th Ave  Denver "
"2017-BFN-0009106","Retail Food Establishment","Restaurant - Temporary","Pending","12/13/2017 11:42:21 AM","COLORADO CRAFT BUTCHERS","6906  PARFET ST  ARVADA 80004"
"2018-BFN-0000846","Combined License","NA","Pending","2/13/2018 8:29:25 AM","G & S SERVICES","8900 E Hampden Ave  Denver 80231"
"2018-BFN-0000878","Combined License","NA","Pending","2/14/2018 11:51:03 AM","BRIGHTON APARTMENTS, LLC","1859  28th St  Denver "
"2018-BFN-0001415","Retail Food Establishment","Restaurant","Pending","3/12/2018 3:18:50 PM","LUIS ANGEL RIVERA","7036 E Colfax Ave  Denver 80220"
"2018-BFN-0001493","Tree Service Company","NA","Pending","12/31/2018 12:00:00 AM","ARMANDO CRESPIN","5710 S PENNSYLVANIA ST  CENTENNIAL 80121"
"2018-BFN-0001571","Swimming Pool","NA","Pending","3/19/2018 2:58:11 PM","IRET PROPERTIES, A NORTH DAKOTA LIMITED PARTNERSHIP","3201 N Brighton Blvd  Denver 80216"
"2018-BFN-0001314","Combined License","NA","Pending","3/7/2018 1:19:43 PM","ZOCALITO INC","999  18TH ST 107 DENVER 80202"
"2018-BFN-0001364","Amusement Facility - Permanent","NA","Pending","3/9/2018 11:22:41 AM","BIG BEAR ICE ARENA LLC","8580 E Lowry Blvd  Denver 80230"
"2018-BFN-0001014","Food - Retail","Bakery, Deli","Pending","2/21/2018 1:13:57 PM","PESTER MARKETING COMPANY","5050 N Washington St  Denver 80216"
"2018-BFN-0001593","Child Care Center","NA","Pending","3/20/2018 1:28:51 PM","SPRINGBOARD EDUCATION IN AMERICA LLC","4900 N Trenton St  Denver 80238"
"2018-BFN-0001436","Combined License","NA","Pending","3/13/2018 2:40:53 PM","WHISKEY KITTEN LLC","2209  Welton St  Denver 80205"
"2018-BFN-0002253","Retail Food Establishment","Restaurant - Temporary","Pending","4/16/2018 11:56:10 AM","BRAZI BITES LLC","1836 NE 7TH AVE #203 PORTLAND 97212"
"2018-BFN-0002476","Parking Lot, Garage","NA","Pending","4/23/2018 3:55:01 PM","LAZ PARKING MIDWEST, LLC","1775 N Sherman St  Denver 80203"
"2018-BFN-0002132","Retail Food Establishment","Restaurant - Temporary","Pending","4/11/2018 11:37:08 AM","ROCKIN RUBS","801  16TH ST C-220 GOLDEN 80401"
"2018-BFN-0002138","Liquor","Retail","Pending","4/11/2018 12:10:17 PM","HAPPY CANYON WINE & LIQUOR, LLC","4950 E Hampden Ave  Denver 80222"
"2018-BFN-0002064","Child Care Center","NA","Pending","4/9/2018 10:52:01 AM","SPRINGBOARD EDUCATION IN AMERICA LLC","1651 S Dahlia St  Denver 80222"
"2018-BFN-0002528","Retail Marijuana Store","NA","Pending","4/25/2018 2:54:39 PM","PINEAPPLE EXCHANGE, LLC","2895 W 8th Ave  Denver 80204"
"2018-BFN-0002448","Combined License","NA","Pending","4/23/2018 10:45:10 AM","29SC WESLEY LP","2361 S Monaco Street Pkwy  Denver "
"2018-BFN-0002538","Combined License","NA","Pending","4/26/2018 9:01:20 AM","HAZEL LIMITED","1581 S Pearl St  Denver 80210"
"2018-BFN-0003004","Combined License","NA","Pending","5/14/2018 11:57:01 AM","ECLECTIC COLLECTIVE BROADWAY MARKET LLC","950 N Broadway   Denver 80203"
"2018-BFN-0002783","Combined License","NA","Pending","5/4/2018 11:21:39 AM","PH RIVER NORTH, LLC","3330 N Brighton Blvd 201 Denver "
"2018-BFN-0002932","Retail Food Establishment","Mobile","Pending","5/10/2018 2:31:40 PM","SMOKE IN THE CITY LLC","2330 N BROADWAY   DENVER 80205"
"2018-BFN-0002789","Combined License","NA","Pending","5/4/2018 1:11:09 PM","NATIV DENVER LLC","1612  Wazee St  Denver 80202"
"2018-BFN-0003279","Retail Marij Opt. Prem. Cultiv","NA","Pending","5/22/2018 12:21:58 PM","PERSONALIZED ORGANIC TREATMENTS LLC","11122 E 47th Ave  Denver 80239"
"2018-BFN-0003154","Food - Wholesale","Fresh Meats, Fish, Caterers","Pending","5/17/2018 3:25:07 PM","DOMINO'S PIZZA DISTRIBUTION LLC","10252 E 51st Ave  Denver 80239"
"2018-BFN-0003290","Food - Retail","Multi-Use","Pending","5/22/2018 1:58:42 PM","GREYHOUND LINES, INC.","1055  19th St  Denver 80202"
"2018-BFN-0003056","Marijuana Transporter","NA","Pending","5/15/2018 2:46:01 PM","GPS TRANSPORTATION, LLC","2186 S Jason St  Denver 80223"
"2018-BFN-0002890","Retail Marijuana Store","NA","Pending","5/9/2018 10:24:51 AM","KGBI COLORADO, LLC","3900 E 48th Ave  Denver 80216"
"2018-BFN-0003253","Child Care Center","NA","Pending","5/21/2018 5:59:45 PM","WHITTIER ELEMENTARY","2480 N Downing St  Denver 80205"
"2018-BFN-0003365","Body Art Est - Permanent","NA","Pending","5/24/2018 11:50:48 AM","MAMMOTH AMERICAN LLC","1919 E 26th Ave  Denver 80205"
"2018-BFN-0003351","Retail Food Establishment","Restaurant","Pending","5/23/2018 3:57:40 PM","STARBUCKS CORPORATION","500 S Broadway   Denver 80209"
"2018-BFN-0003679","Liquor","Special Events","Pending","6/5/2018 11:58:43 AM","ACF COLORADO CHEFS DE CUSINE EDUCATION FUND","2180 S Delaware St  Denver 80223"
"2018-BFN-0003629","Liquor","Special Events","Pending","6/4/2018 11:53:02 AM","DENVER URBAN SCHOLARS","2219 W 32nd Ave  Denver 80211"
"2018-BFN-0003449","Food - Retail","Milk, Dairy, Prepackaged Meats","Pending","5/29/2018 10:10:00 AM","AVILA RETAIL DEVELOPMENT MGMT LLC","8500  Pena Blvd  Denver 80249"
"2018-BFN-0003832","Liquor","Special Events","Pending","6/8/2018 11:10:17 AM","ROCKY MOUNTAIN ASSOCIATION OF ENTREPRENEURS","715 S Forest St  Denver 80246"
"2018-BFN-0004172","Liquor","Special Events","Pending","6/18/2018 12:39:26 PM","RINO 5K","2701  Larimer St  Denver 80205"
"2018-BFN-0003900","Tree Service Company","NA","Pending","12/31/2018 12:00:00 AM","JOHN DICKINSON","7825  46TH PL  WHEATRIDGE 80033"
"2018-BFN-0004159","Retail Food Establishment","Restaurant","Pending","6/18/2018 11:20:45 AM","HELLO TABY","4621 N Peoria St F-1 Denver "
"2018-BFN-0004410","Liquor","Special Events","Pending","6/21/2018 9:37:38 AM","FRIENDS OF THE HAVEN","833  SANTA FE DR  DENVER 80204"
"2018-BFN-0003819","Parking Lot, Garage","NA","Pending","6/8/2018 8:32:55 AM","LAZ PARKING MIDWEST, LLC","1615  Platte St  Denver 80202"
"2018-BFN-0003836","Child Care Center","NA","Pending","6/8/2018 12:50:03 PM","LITTLE SPARK LEARNING CENTER, LLC","2180 S Hudson St  Denver 80222"
"2018-BFN-0004116","Liquor","Special Events","Pending","6/15/2018 12:32:20 PM","THE CHERRY CREEK NORTH FOUNDATION","150 N Fillmore St  Denver "
"2018-BFN-0003866","Child Care Home","NA","Pending","6/11/2018 9:09:42 AM","NOMIKI BITZANAKIS","711 N Poplar St  Denver 80220"
"2018-BFN-0004595","Retail Food Establishment","Mobile","Pending","6/22/2018 3:00:22 PM","EL COCO PIRATA III LLC","3325 W ALAMEDA AVE  DENVER 80219"
"2018-BFN-0004147","Second Hand Dealer","NA","Pending","6/18/2018 9:18:51 AM","BENADATO TRADING CO","100 N Fillmore St 547 Denver "
"2018-BFN-0004366","Retail Food Establishment","Mobile","Pending","6/20/2018 4:10:50 PM","INTERNATIONAL COOKHOUSE","18014  PO BOX   SAN ANTONIO 78218"
"2018-BFN-0004043","Swimming Pool","NA","Pending","6/14/2018 10:28:10 AM","WOODSTREAM FALLS CONDOMINIUM ASSOCIATION INC","9700 E Iliff Ave  Denver 80231"
"2015-BFN-0008231","Med Marijuana Opt Prem Cultiv","NA","Pending","12/17/2015 4:08:09 PM","OVERMOUNT, LLC","4140 N YORK ST 110 DENVER 80216"
"2015-BFN-0008467","Med Marijuana Opt Prem Cultiv","NA","Pending","12/31/2015 3:52:23 PM","CREAM LLC","2201 S Kalamath St  Denver 80223"
"2016-BFN-0000794","Combined License","NA","Pending","5/25/2017 12:00:00 AM","HIGHLANDS CONCEPTS HOSPITALITY CORP","1855  Central St  Denver "
"2016-BFN-0001628","Liquor","Special Events","Pending","3/30/2016 2:07:11 PM","MCKINLY--THATCHER ELEMENTARY PTA","1787 S BROADWAY   DENVER 80210"
"2016-BFN-0004340","Med Marijuana Inf Prod Manuf","NA","Pending","7/12/2016 12:17:02 PM","OG MEDICINALS, LLC","4995 N LIMA ST  DENVER 80239"
"2016-BFN-0005041","Liquor","Special Events","Pending","8/5/2016 2:33:14 PM","CONCERNED CITIZENS FOR BARNUM","360 N Hooker St  Denver 80219"
"2016-BFN-0006680","Liquor","Special Events","Pending","9/29/2016 4:35:16 PM","METRO CARING","3600  Wynkoop St  Denver 80216"
"2016-BFN-0007831","Liquor","Special Events","Pending","11/22/2016 2:47:03 PM","SOS OUTREACH","860 N Broadway   Denver 80203"
"2017-BFN-0000963","Retail Marijuana Inf Prod Mfg","NA","Pending","2/9/2017 12:32:07 PM","WM CONCENTRATES LLC","5120 N Havana ST  Denver 80239"
"2017-BFN-0001995","Combined License","NA","Pending","3/22/2017 9:50:14 AM","KUNI LLC","2752  Welton ST  Denver 80205"
"2017-BFN-0004938","Combined License","NA","Pending","7/6/2017 9:54:08 AM","BARONESS COFFEE CO","4250  CARSON ST  DENVER 80239"
"2017-BFN-0005230","Valet Location License","NA","Pending","7/17/2017 10:28:21 AM","BROOKS ORIGINAL BBQ","1480  Arapahoe St  Denver 80202"
"2017-BFN-0005759","Combined License","NA","Pending","8/1/2017 12:25:45 PM","HAMPDEN EAST III CONDOMINIUM ASSOCIATION","8060 E Girard Ave  Denver 80231"
"2017-BFN-0002866","Retail Marij Opt. Prem. Cultiv","NA","Pending","4/24/2017 2:08:11 PM","BGOOD VENTURES, LLC","2165 S Kalamath ST  Denver 80223"
"2017-BFN-0004772","Retail Food Establishment","Restaurant","Pending","6/29/2017 11:21:00 AM","BUG AND BELLE BAKERY","3712 W 32nd Ave  Denver 80211"
"2017-BFN-0004718","Retail Food Establishment","Mobile","Pending","6/28/2017 8:32:08 AM","NATIONAL POTATO PROMOTION BOARD","4949 S SYRACUSE ST  DENVER 80237"
"2017-BFN-0004586","Retail Food Establishment","Mobile","Pending","6/22/2017 12:34:39 PM","OMAD LLC","1090 S PARKER RD  DENVER 80231"
"2017-BFN-0004810","Combined License","NA","Pending","6/30/2017 9:57:52 AM","IMT CAPITAL IV CHERRY CREEK LLC","755 S DEXTER ST  DENVER 80246"
"2017-BFN-0006334","Retail Food Establishment","Restaurant","Pending","8/22/2017 1:50:42 PM","LAS TORTUGAS LLC","1549 W Alameda Ave  Denver 80223"
"2017-BFN-0006557","Retail Food Establishment","Mobile","Pending","8/29/2017 2:39:04 PM","SAMUEL SUSANO","5559 N Yuba Way  Denver 80239"
"2017-BFN-0005864","Child Care Home","NA","Pending","8/4/2017 12:14:55 PM","LITTLE LIONS LLC","8665 E 49th Pl  Denver 80238"
"2017-BFN-0006493","Retail Food Establishment","Restaurant","Pending","8/28/2017 10:19:31 AM","BESHORE 494 INC","4880 N Tower Rd  Denver "
"2017-BFN-0007060","Garage - Repair of Motor Vehic","NA","Pending","9/12/2017 10:45:30 AM","PLAZA BROTHERS AUTO BODY INC","1355 W Alameda Ave  Denver 80223"
"2017-BFN-0007195","Retail Food Establishment","Mobile","Pending","9/15/2017 9:37:00 AM","WILL BLACKMORE","2501 S WOLFF ST  DENVER 80219"
"2017-BFN-0007465","Retail Food Establishment","Restaurant","Pending","9/27/2017 9:39:47 AM","ALVARADO CONCEPTS LLC","7150  Leetsdale Dr  Denver 80224"
"2017-BFN-0007379","Tree Service Company","NA","Pending","9/22/2017 10:37:30 AM","ARBOR SOLUTIONS TREE SERVICE LLC","381 S Washington St  Denver 80209"
"2017-BFN-0008609","Parking Lot, Garage","NA","Pending","11/16/2017 2:21:49 PM","INTERSTATE PARKING OF COLORADO LLC","1701  PLATTE ST  DENVER 80202"
"2017-BFN-0008153","Liquor","Retail","Pending","10/23/2017 4:28:15 PM","SEVEN GRAND DENVER LLC","1855  Blake  160 Denver "
"2017-BFN-0008473","Combined License","NA","Pending","11/8/2017 10:53:37 AM","BAYWOOD DIA INC","6762 N Tower Rd  Denver "
"2017-BFN-0009089","Combined License","NA","Pending","12/12/2017 3:35:10 PM","LEEVERS SUPERMARKETS INC","1951 S FEDERAL BLVD  DENVER 80219"
"2018-BFN-0000046","Retail Food Establishment","Mobile","Pending","1/3/2018 1:18:25 PM","KARINA IVETT TORRES","5565  FEDERAL BLVD 97 DENVER 80221"
"2018-BFN-0000020","Combined License","NA","Pending","1/2/2018 2:04:28 PM","PEARL STREET LOHI LLC","2021 W 32nd Ave  Denver 80211"
"2018-BFN-0000796","Combined License","NA","Pending","2/9/2018 11:43:46 AM","RAR2-444 EAST 19TH, LLC","444 E 19th Ave  Denver 80203"
"2018-BFN-0000391","Food - Retail","Milk, Dairy, Prepackaged Meats","Pending","1/22/2018 3:03:19 PM","READY FIT GO LLC","8101 E Belleview  W2 Denver 80237"
"2018-BFN-0000176","Liquor","Tastings","Pending","1/10/2018 1:49:01 PM","LUCERO ENTERPRISES INC","18611  Green Valley Ranch Blvd  Denver 80249"
"2018-BFN-0000251","Swimming Pool","NA","Pending","1/16/2018 10:22:51 AM","REVIVE CHERRY CREEK, LLC","250 N Steele St 110 Denver 80206"
"2018-BFN-0000568","Merchant Guard Company","NA","Pending","1/31/2018 12:12:28 PM","ACTION SECURITY, LLC","8181 E 104TH AVE  HENDERSON 80640"
"2018-BFN-0000302","Combined License","NA","Pending","1/17/2018 2:52:14 PM","LoHi DISTILLED LLC","3622 N Tejon St  Denver "
"2018-BFN-0000310","Tree Service Company","NA","Pending","1/17/2018 4:02:45 PM","Kevin H Smith","5497  HARLAN ST  ARVADA 80002"
"2018-BFN-0000807","Combined License","NA","Pending","2/9/2018 2:52:49 PM","QUEBEC PLACE AT FAIRMOUNT","430 S Quebec St  Denver 80247"
"2018-BFN-0001060","Combined License","NA","Pending","2/23/2018 10:09:13 AM","RUN FOR THE ROSES LLC","1801  BLAKE ST 10 DENVER 80202"
"2018-BFN-0001716","Retail Food Establishment","Restaurant - Temporary","Pending","3/23/2018 4:31:08 PM","PETIT POT","158 S SPRUCE AVE  SOUTH SAN FRANCISCO 94080"
"2018-BFN-0001222","Med Marijuana Inf Prod Manuf","NA","Pending","3/2/2018 2:53:43 PM","AMERICAN INDUSTRY LLC","4571 N Ivy   Denver 80216"
"2018-BFN-0001264","Child Care Center","NA","Pending","3/6/2018 9:28:12 AM","DREAM BIG DAY CAMP","5420 E 1st Ave  Denver 80220"
"2018-BFN-0002285","Combined License","NA","Pending","4/17/2018 11:10:07 AM","SIMPSON HOUSING FUND I LLC","4875 S DTC Blvd  Denver "
"2018-BFN-0002504","Combined License","NA","Pending","4/25/2018 9:16:59 AM","1311 COOK RESIDENTIAL LLC","1311 N Cook St  Denver 80206"
"2018-BFN-0002420","Combined License","NA","Pending","4/20/2018 1:49:23 PM","AMERICAN CULTURES LLC","3233 N TEJON ST 107 DENVER 80211"
"2018-BFN-0003044","Retail Food Establishment","Restaurant","Pending","5/15/2018 11:55:41 AM","FRESQUEZ CONCESSIONS, INC","7684 N Wenatchee St  Denver 80249"
"2018-BFN-0002792","Retail Food Establishment","Mobile","Pending","5/4/2018 1:36:53 PM","HIP HOP ICE CREAM","3392 S PENNSYLVANIA ST  ENGLEWOOD 80113"
"2018-BFN-0003075","Retail Food Establishment","Mobile","Pending","5/16/2018 10:57:05 AM","TACOS EL PASTORCITO","5661 W GREEN  MEADOWS PL APT 101 DENVER 80227"
"2018-BFN-0003648","Retail Food Establishment","Restaurant - Stand-Up","Pending","6/4/2018 3:03:17 PM","CALLE 16 LLC","16  AND ARAPAHOE ST 16 DENVER 80202"
"2018-BFN-0003519","Food - Retail","Bakery, Deli","Pending","5/30/2018 1:36:08 PM","FRUTERIA LA MEXICANA, INC","706 N Sheridan Blvd  Denver 80214"
"2018-BFN-0003399","Retail Food Establishment","Mobile","Pending","5/25/2018 10:10:23 AM","PALAVA FINE FOODS LLC","11002 E YALE AVE  AURORA 80014"
"2018-BFN-0003408","Retail Food Establishment","Mobile","Pending","5/25/2018 11:17:00 AM","WASKO FOOD CONCEPTS, LLC","2982  RALEIGH ST  DENVER 80212"
"2018-BFN-0003304","Retail Food Establishment","Mobile","Pending","5/22/2018 4:27:17 PM","CLAMATOS EL HARO","2780 W ELLSWORTH AVE  DENVER 80219"
"2018-BFN-0003572","Child Care Center","NA","Pending","5/31/2018 4:29:09 PM","COLORADO NONPROFIT DEVELOPMENT CENTER","2701 N Lima St  Denver 80238"
"2018-BFN-0003507","Combined License","NA","Pending","5/30/2018 10:02:48 AM","NILE EXPRESS MARKET","9660 E Alameda Ave 110 Denver 80247"
"2018-BFN-0003511","Combined License","NA","Pending","5/30/2018 10:28:01 AM","MR.HAO GRILL LLC","10021 E Hampden Ave  Denver 80231"
"2018-BFN-0003252","Child Care Center","NA","Pending","5/21/2018 5:55:07 PM","OAKLAND ELEMENTARY","4580 N Dearborn St  Denver 80239"
"2018-BFN-0003323","Liquor","Special Events","Pending","5/23/2018 12:07:11 PM","CU PERU","2350  ARAPAHOE ST  DENVER 80205"
"2018-BFN-0003718","Liquor","Special Events","Pending","6/6/2018 12:06:51 PM","CHERRY CREEK ARTS FESTIVAL","2 N Steele   Denver 80206"
"2018-BFN-0003645","Retail Food Establishment","Restaurant","Pending","6/4/2018 2:49:21 PM","HAI HAIS LIMITED","200 E Colfax Ave  Denver 80203"
"2018-BFN-0004138","Retail Food Establishment","Restaurant","Pending","6/15/2018 4:05:05 PM","DH UNIVERSITY LLC","2075 S University Blvd C Denver 80210"
"2018-BFN-0004150","Child Care Center","NA","Pending","6/18/2018 9:53:21 AM","SUNFLOWER HILL CHILD CARE INC","1520 S Glencoe St  Denver 80222"
"2018-BFN-0004022","Retail Food Establishment","Mobile","Pending","6/13/2018 2:18:06 PM","WHOLE SOL BLEND BAR","1735  CHESTNUT PL  DENVER 80202"
